Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);,,,,,,,,,,,,,,
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)",,,,,,,,,,,,,,
Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017,,,,,,,,,,,,,,
Group By: MCD - ICD Sub-Chapter; Year; Place of Death,,,,,,,,,,,,,,
Show Totals: True,,,,,,,,,,,,,,
Show Zero Values: True,,,,,,,,,,,,,,
Show Suppressed: True,,,,,,,,,,,,,,
Standard Population: 2000 U.S. Std. Population,,,,,,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
"Query Date: Apr 9, 2026 6:45:14 PM",,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,,,,,,,
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,,,,,,,,,,
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,,,,,,,,
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Apr 9, 2026 6:45:14 PM",,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths.",,,,,,,,,,,,,,
Note that any single death record may have up to 20 causes. More information.,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
Caveats:,,,,,,,,,,,,,,
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,",,,,,,,,,,,,,,
due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates.,,,,,,,,,,,,,,
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:",,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision.,,,,,,,,,,,,,,
3. These items in the results table are not fully selected: Other bacterial diseases. The Query Description lists the actual,,,,,,,,,,,,,,
values selected.,,,,,,,,,,,,,,
4. The populations used to calculate standard age-adjusted rates are documented here: More information:,,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population.,,,,,,,,,,,,,,
5. The method used to calculate age-adjusted rates is documented here: More information:,,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates.,,,,,,,,,,,,,,
"6. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates.",,,,,,,,,,,,,,
"7. The Place of Death category 'Medical Facility - Status unknown' is only available from 1999 - 2002, and 'Hospice facility' is",,,,,,,,,,,,,,
only available for 2003 and later.,,,,,,,,,,,,,,
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99",,,,,,,,,,,,,,
